uid,domainID,siteID,namedLocation,collectDate,processedDate,parentSampleID,sampleID,sampleCode,analysisType,fieldSampleVolume,labSampleVolume,domainFilterVolume,adjAshFreeDryMass,plantDryMass,plantSurfaceArea,plantAdjAshFreeDryMass,preservativeType,preservativeVolume,remarks,measuredBy,recordedBy,sampleCondition,ashMassDataQF,dataQF,publicationDate,release
1deeddde-47ce-4ef6-b360-2e2b43b479ac,D05,CRAM,CRAM.AOS.buoy.c0,2015-05-13T15:40:00Z,2015-05-14T17:00:00Z,CRAM.20150513.PHYTOPLANKTON.3,CRAM.20150513.PHYTOPLANKTON.3,NA,AFDM,4000,NA,150,1e-4,NA,NA,NA,NA,NA,NA,NA,jhudson@neoninc.org,OK,NA,legacyData,20231226T232318Z,RELEASE-2024
64dbcae8-1f0a-4c33-9b0c-8f94988223cd,D05,CRAM,CRAM.AOS.buoy.c0,2015-05-13T15:40:00Z,2015-05-14T17:00:00Z,CRAM.20150513.PHYTOPLANKTON.3,CRAM.20150513.PHYTOPLANKTON.3,NA,taxonomy,4000,1000,NA,NA,NA,NA,NA,Lugol's iodine,20,NA,NA,jhudson@neoninc.org,OK,NA,legacyData,20231226T232318Z,RELEASE-2024
bd194fd7-8dd0-42eb-88fe-db95541fbda2,D05,CRAM,CRAM.AOS.riparian.point.07,2015-07-13T15:45:00Z,2015-07-14T17:00:00Z,CRAM.20150713.EPIXYLON.4,CRAM.20150713.EPIXYLON.4,NA,AFDM,125,NA,5,0.0022,NA,NA,NA,NA,NA,NA,NA,jhudson@neoninc.org,OK,NA,legacyData,20231226T233823Z,RELEASE-2024
51339a49-0c8f-4b2b-a585-d01e7c958257,D05,CRAM,CRAM.AOS.buoy.c0,2015-07-13T15:45:00Z,2015-07-14T17:00:00Z,CRAM.20150713.PHYTOPLANKTON.3,CRAM.20150713.PHYTOPLANKTON.3,NA,AFDM,4000,NA,200,2e-4,NA,NA,NA,NA,NA,NA,NA,jhudson@neoninc.org,OK,NA,legacyData,20231226T233823Z,RELEASE-2024
e3e5de13-ffa9-4edf-b583-bfe3122cdfa5,D05,CRAM,CRAM.AOS.riparian.point.09,2015-07-13T15:45:00Z,2015-07-14T17:00:00Z,CRAM.20150713.EPIXYLON.5,CRAM.20150713.EPIXYLON.5,NA,AFDM,125,NA,5,0.0048,NA,NA,NA,NA,NA,NA,NA,jhudson@neoninc.org,OK,NA,legacyData,20231226T233823Z,RELEASE-2024
2a12c1c9-e7b1-4404-afdf-9828abf3568c,D05,CRAM,CRAM.AOS.riparian.point.01,2015-07-13T15:45:00Z,2015-07-14T17:00:00Z,CRAM.20150713.EPIXYLON.1,CRAM.20150713.EPIXYLON.1,NA,AFDM,125,NA,5,0.0013,NA,NA,NA,NA,NA,NA,NA,jhudson@neoninc.org,OK,NA,legacyData,20231226T233823Z,RELEASE-2024
ff3d0b00-1c9c-4798-a27a-d5350171c2e3,D05,CRAM,CRAM.AOS.riparian.point.03,2015-07-13T15:45:00Z,2015-07-14T17:00:00Z,CRAM.20150713.EPIXYLON.2,CRAM.20150713.EPIXYLON.2,NA,AFDM,125,NA,5,0.0036,NA,NA,NA,NA,NA,NA,NA,jhudson@neoninc.org,OK,NA,legacyData,20231226T233823Z,RELEASE-2024
27253e65-8140-4c17-9c54-76492dc7d657,D05,CRAM,CRAM.AOS.riparian.point.05,2015-07-13T15:45:00Z,2015-07-14T17:00:00Z,CRAM.20150713.EPIXYLON.3,CRAM.20150713.EPIXYLON.3,NA,AFDM,125,NA,5,0.0027,NA,NA,NA,NA,NA,NA,NA,jhudson@neoninc.org,OK,NA,legacyData,20231226T233823Z,RELEASE-2024
95773c13-5493-4ba0-9899-db8cc0f63e37,D05,CRAM,CRAM.AOS.riparian.point.07,2015-07-13T15:45:00Z,2015-07-14T17:00:00Z,CRAM.20150713.EPIXYLON.4,CRAM.20150713.EPIXYLON.4,NA,taxonomy,125,60,NA,NA,NA,NA,NA,glutaraldehyde,1.2,NA,NA,jhudson@neoninc.org,OK,NA,legacyData,20231226T233823Z,RELEASE-2024
684ac94e-b5c1-4fe0-8795-05806472c4b1,D05,CRAM,CRAM.AOS.riparian.point.01,2015-07-13T15:45:00Z,2015-07-14T17:00:00Z,CRAM.20150713.EPIXYLON.1,CRAM.20150713.EPIXYLON.1,NA,taxonomy,125,60,NA,NA,NA,NA,NA,glutaraldehyde,1.2,NA,NA,jhudson@neoninc.org,OK,NA,legacyData,20231226T233823Z,RELEASE-2024
